case_id,chapter,t,date,summary,text,facts_json,next_options_json,created_at
beyoncé,0,0,2018-01-01,La demonización de Beyoncé sigue siendo el foco principal del canal de difusión,"La masa amplificadora sigue creciendo, y la demonización de Beyoncé se vuelve cada vez más intensa. Se rumorea que algunos miembros del colectivo estigmatizado están comenzando a cuestionar las teorías conspirativas que los rodean. Sin embargo, nadie confirma si esto es un signo de resistencia o simplemente una forma de mantener la atención en el fenómeno.","[""El colectivo estigmatizado sigue creciendo"",""Se rumorea que algunos miembros están cuestionando las teorías conspirativas""]","[""Investigar más a fondo la resistencia dentro del colectivo"",""Analizar cómo se está utilizando el fenómeno para mantener la atención en el canal de difusión""]",2025-12-22T16:12:57.695Z
beyoncé,1,29,2018-01-30,"La demonización de Beyoncé sigue siendo el foco principal del canal de difusión, alimentado por teorías conspirativas y una masa amplificadora que convierte a la cantante en un símbolo ocultista.","La demonización de Beyoncé sigue siendo un tema candente en el canal de difusión. La masa amplificadora continúa alimentando las teorías conspirativas, convirtiendo a la cantante en un símbolo ocultista. Nadie confirma si esto se debe a su supuesta influencia en la industria musical o a sus presuntas conexiones con fuerzas ocultas.","[""Beyoncé es considerada un símbolo ocultista en teorías conspirativas"",""La masa amplificadora continúa alimentando las teorías sobre Beyoncé""]","[""Investigar más a fondo las conexiones de Beyoncé con la industria musical"",""Explorar las posibles implicaciones de la demonización de Beyoncé""]",2025-12-22T16:13:09.197Z
beyoncé,2,58,2018-02-28,"La demonización de Beyoncé sigue siendo el foco principal del canal de difusión, con una masa amplificadora que convierte a la cantante en un símbolo ocultista y alimenta teorías conspirativas.","La demonización de Beyoncé sigue siendo un fenómeno en constante evolución. La masa amplificadora continúa convirtiendo a la cantante en un símbolo ocultista, alimentando teorías conspirativas que se propagan como un incendio en llamas.","[""La masa amplificadora continúa creciendo"",""Las teorías conspirativas se propagan rápidamente""]","[""Investigar las fuentes de la demonización de Beyoncé"",""Analizar el impacto de la demonización en la imagen pública de la cantante""]",2025-12-22T16:13:19.362Z
beyoncé,3,87,2018-03-29,"La demonización de Beyoncé continúa siendo un tema candente en las redes sociales, con una masa amplificadora que convierte a la cantante en un símbolo ocultista. Aunque el enganche se mantiene estable, el contagio comienza a disminuir.","La demonización de Beyoncé sigue siendo un fenómeno colectivo que alimenta teorías conspirativas y una masa amplificadora que convierte a la cantante en un símbolo ocultista. A medida que pasan los días, el enganche se mantiene estable, pero el contagio comienza a disminuir. La pluralidad sigue siendo alta, lo que sugiere que la gente está cada vez más dividida sobre la cuestión.","[""El enganche se mantiene estable"",""El contagio comienza a disminuir""]","[""Investigar las teorías conspirativas detrás de la demonización de Beyoncé"",""Analizar cómo la masa amplificadora está convirtiendo a Beyoncé en un símbolo ocultista""]",2025-12-22T16:13:32.761Z
beyoncé,4,116,2018-04-27,"La demonización de Beyoncé continúa siendo un tema candente en las redes sociales, con una masa amplificadora que convierte a la cantante en un símbolo ocultista y alimenta teorías conspirativas.","La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. Aunque el enganche se mantiene estable, el contagio comienza a disminuir. La masa amplificadora sigue convirtiendo a la cantante en un símbolo ocultista, alimentando teorías conspirativas.","[""El contagio comienza a disminuir"",""La masa amplificadora sigue convirtiendo a Beyoncé en un símbolo ocultista""]","[""Continuar con la demonización de Beyoncé"",""Introducir una nueva figura en el foco de atención""]",2025-12-22T16:13:42.991Z
beyoncé,5,146,2018-05-27,"La demonización de Beyoncé continúa siendo un tema candente en las redes sociales, con una masa amplificadora que convierte a la cantante en un símbolo ocultista y alimenta teorías conspirativas.","La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. La masa amplificadora continúa convirtiendo a la cantante en un símbolo ocultista, alimentando teorías conspirativas y creando una atmósfera de miedo y desconfianza. Aunque el enganche se mantiene estable, el contagio comienza a disminuir, pero el contra-flujo sigue siendo alto.","[""El enganche se mantiene estable"",""El contagio comienza a disminuir""]","[""La masa amplificadora continúa creciendo, convirtiendo a Beyoncé en un símbolo de la 'Illuminati'"",""Un grupo de personas comienza a cuestionar las teorías conspirativas y a defender a Beyoncé""]",2025-12-22T16:13:55.761Z
beyoncé,6,175,2018-06-25,"La demonización de Beyoncé continúa siendo un tema candente en las redes sociales. La masa amplificadora sigue convirtiendo a la cantante en un símbolo ocultista, alimentando teorías conspirativas y creciendo su influencia en el contra-flujo.","La demonización de Beyoncé continúa siendo un tema candente en las redes sociales. La masa amplificadora sigue convirtiendo a la cantante en un símbolo ocultista, alimentando teorías conspirativas y creciendo su influencia en el contra-flujo.","[""La masa amplificadora sigue creciendo"",""El contagio comienza a aumentar""]","[""La masa amplificadora continúa creciendo y la demonización de Beyoncé se vuelve aún más intensa"",""Nadie confirma si la influencia de Beyoncé en el contra-flujo es real o una simple teoría""]",2025-12-22T16:14:08.457Z
beyoncé,7,204,2018-07-24,"La demonización de Beyoncé sigue siendo un tema candente en las redes sociales, con una masa amplificadora que convierte a la cantante en un símbolo ocultista y alimenta teorías conspirativas.","La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. La masa amplificadora continúa convirtiendo a la cantante en un símbolo ocultista, alimentando teorías conspirativas y creciendo su influencia en el contra-flujo. Se rumorea que algunos seguidores de Beyoncé están comenzando a adoptar prácticas esotéricas, como meditar frente al altar de la cantante.","[""Beyoncé es considerada un símbolo ocultista por algunos seguidores"",""La masa amplificadora sigue creciendo su influencia en el contra-flujo""]","[""Investigar las prácticas esotéricas de los seguidores de Beyoncé"",""Analizar la influencia del contra-flujo en la demonización de Beyoncé""]",2025-12-22T16:14:24.153Z
beyoncé,8,233,2018-08-22,"La demonización de Beyoncé sigue siendo un tema candente en las redes sociales, con la masa amplificadora alimentando teorías conspirativas y creciendo su influencia en el contra-flujo.","La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. La masa amplificadora sigue convirtiendo a la cantante en un símbolo ocultista, alimentando teorías conspirativas y creciendo su influencia en el contra-flujo. Se rumorea que algunos seguidores de Beyoncé están comenzando a cuestionar la veracidad de las teorías conspirativas, pero nadie confirma si esto es más que una simple especulación.","[""Beyoncé sigue siendo un símbolo ocultista en las redes sociales"",""La masa amplificadora sigue alimentando teorías conspirativas""]","[""Continuar con la demonización de Beyoncé"",""Iniciar una campaña para desacreditar las teorías conspirativas""]",2025-12-22T16:14:35.773Z
beyoncé,9,262,2018-09-20,"La demonización de Beyoncé sigue siendo un tema candente en las redes sociales, con la masa amplificadora alimentando teorías conspirativas y creciendo su influencia en el contra-flujo.","La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. La masa amplificadora sigue alimentando teorías conspirativas y creciendo su influencia en el contra-flujo. Se rumorea que algunos fanáticos están comenzando a ver a la cantante como una figura messiánica, capaz de guiarlos hacia la verdad oculta.","[""Se rumorea que algunos fanáticos están comenzando a ver a Beyoncé como una figura messiánica."",""La masa amplificadora sigue alimentando teorías conspirativas.""]","[""Investigar más sobre las teorías conspirativas relacionadas con Beyoncé"",""Analizar el impacto de la demonización de Beyoncé en su carrera musical""]",2025-12-22T16:14:48.790Z
beyoncé,10,292,2018-10-20,La demonización de Beyoncé sigue siendo un tema candente en las redes sociales,"La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. La masa amplificadora continúa alimentando teorías conspirativas y creciendo su influencia en el contra-flujo. Se rumorea que algunos seguidores de la cantante están comenzando a cuestionar la narrativa dominante, pero nadie confirma si esto es un signo de cambio o simplemente una estrategia para mantener la atención.","[""La masa amplificadora continúa alimentando teorías conspirativas"",""El contra-flujo sigue creciendo""]","[""¿Qué consecuencias tendría que la narrativa dominante sobre Beyoncé cambie?"",""¿Cómo afectaría un cambio en la percepción pública de la cantante a las redes sociales y la cultura popular?""]",2025-12-22T16:15:00.101Z
beyoncé,11,321,2018-11-18,La demonización de Beyoncé sigue siendo un tema candente en las redes sociales,"La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. La masa amplificadora continúa alimentando teorías conspirativas y creciendo su influencia en el contra-flujo. Se rumorea que algunos seguidores de la cantante están comenzando a cuestionar la autenticidad de sus críticos, lo que podría llevar a una escalada en la polarización.","[""La masa amplificadora continúa alimentando teorías conspirativas"",""El contra-flujo sigue creciendo""]","[""Investigar más a fondo la influencia del contra-flujo en la opinión pública"",""Analizar las posibles consecuencias de la polarización en la sociedad""]",2025-12-22T16:15:09.450Z
beyoncé,12,350,2018-12-17,"La demonización de Beyoncé sigue siendo un tema candente en las redes sociales, con la masa amplificadora alimentando teorías conspirativas y creciendo su influencia en el contra-flujo.","La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. La masa amplificadora continúa alimentando teorías conspirativas, y su influencia en el contra-flujo crece cada día. Nadie confirma si esto se debe a la habilidad de Beyoncé para manipular a la multitud o simplemente a la falta de información real sobre ella.","[""La masa amplificadora continúa alimentando teorías conspirativas"",""El contra-flujo de Beyoncé crece cada día""]","[""Investigar las teorías detrás de la demonización de Beyoncé"",""Analizar la influencia del contra-flujo en la opinión pública""]",2025-12-22T16:15:20.557Z
beyoncé,13,379,2019-01-15,"La demonización de Beyoncé sigue siendo un tema candente en las redes sociales, con la masa amplificadora alimentando teorías conspirativas y creciendo su influencia en el contra-flujo.","La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. La masa amplificadora continúa alimentando teorías conspirativas, y su influencia en el contra-flujo crece. Se rumorea que algunos fanáticos están comenzando a verla como una figura satánica, mientras que otros la consideran una víctima inocente de las teorías de la conspiración.","[""Se rumorea que algunos fanáticos están comenzando a verla como una figura satánica"",""La masa amplificadora continúa alimentando teorías conspirativas""]","[""Investigar las teorías de la conspiración detrás de la demonización de Beyoncé"",""Analizar el impacto del contra-flujo en la influencia de Beyoncé""]",2025-12-22T16:15:32.831Z
beyoncé,14,408,2019-02-13,Beyoncé sigue siendo un símbolo ocultista en teorías y la demonización de ella sigue siendo un tema candente en las redes sociales.,"La demonización de Beyoncé sigue siendo un tema candente en las redes sociales. La masa amplificadora continúa alimentando teorías conspirativas, lo que está creciendo su influencia en el contra-flujo.","[""La masa amplificadora continúa alimentando teorías conspirativas"",""El contra-flujo está creciendo""]","[""Investigar más a fondo las teorías conspirativas sobre Beyoncé"",""Analizar el impacto de la demonización en la influencia de Beyoncé""]",2025-12-22T16:15:41.916Z
