case_id,chapter,t,date,summary,text,facts_json,next_options_json,created_at
bad_bunny,0,0,2018-01-01,"ERROR: generateJsonWithLLM: Error: El modelo no devolvió JSON. Inicio:
{""text"":""La controversia que rodea a Bad Bunny sigue creciendo. Su último álbum ha sido un éxito, pero también ha ge",,"[""chapter_failed=true""]",[],2025-12-22T15:34:20.694Z
bad_bunny,1,29,2018-01-30,"La controversia que rodea a Bad Bunny sigue creciendo, con la masa amplificadora alimentando el fuego de la crítica. El contra-flujo es cada vez más fuerte, con algunos defensores de Bad Bunny argumentando que la crítica hacia él es injusta.","La controversia que rodea a Bad Bunny sigue creciendo. Su último álbum ha sido un éxito, pero también ha generado una gran cantidad de críticas y debates en las redes sociales. Algunos lo consideran un ídolo, mientras que otros lo ven como un ejemplo de la industria musical corrupta.

La masa amplificadora sigue alimentando el fuego de la controversia, compartiendo memes y comentarios que a menudo son irónicos o incluso insultantes. El contra-flujo es cada vez más fuerte, con algunos defensores de Bad Bunny argumentando que la crítica hacia él es injusta y que su música ha tenido un impacto positivo en la cultura popular.

La pluralidad de opiniones sigue siendo alta, lo que sugiere que la controversia no tiene fin. La resistencia a la crítica hacia Bad Bunny también sigue siendo fuerte, con algunos argumentando que se está perjudicando su reputación injustamente. 

Se rumorea que Bad Bunny podría responder a las críticas en su próximo álbum, lo que podría generar aún más controversia y debate.

¿Qué pasará a continuación? ¿Bad Bunny seguirá siendo el centro de la atención o logrará silenciar a sus críticos? ¿La masa amplificadora seguirá alimentando la controversia o comenzará a perder interés?

Las opciones son:
- Bad Bunny lanza un nuevo álbum que supera las expectativas y silencia a sus críticos.
- La controversia sigue creciendo y se vuelve cada vez más intensa, con ambos bandos empeñados en defender su posición.","[""La controversia que rodea a Bad Bunny ha sido un tema de debate en las redes sociales durante varias semanas."",""El último álbum de Bad Bunny ha sido un éxito comercial, pero también ha generado una gran cantidad de críticas y debates."",""La masa amplificadora sigue alimentando la controversia, compartiendo memes y comentarios que a menudo son irónicos o incluso insultantes.""]","[""Bad Bunny lanza un nuevo álbum que supera las expectativas y silencia a sus críticos."",""La controversia sigue creciendo y se vuelve cada vez más intensa, con ambos bandos empeñados en defender su posición""]",2025-12-22T15:34:50.162Z
bad_bunny,2,58,2018-02-28,"La controversia sigue en aumento, con ambos lados presentando sus argumentos","La controversia que rodea a Bad Bunny sigue creciendo, y la masa amplificadora no muestra signos de disminuir. Algunos defensores del artista argumentan que la crítica hacia él es injusta, pero otros sostienen que su música y comportamiento han sido problemáticos.","[""Bad Bunny ha lanzado un nuevo álbum"",""La masa amplificadora sigue alimentando la controversia""]","[""El contra-flujo se vuelve más fuerte y algunos defensores de Bad Bunny comienzan a cuestionar la justicia de la crítica"",""La situación se vuelve cada vez más polarizada, con ambos lados presentando sus argumentos""]",2025-12-22T15:35:00.605Z
bad_bunny,3,87,2018-03-29,La controversia sigue creciendo y la masa amplificadora no tiene fin,"La controversia que rodea a Bad Bunny sigue creciendo, y la masa amplificadora parece no tener fin. Algunos defensores de Bad Bunny argumentan que la crítica hacia él es injusta, mientras que otros sostienen que su música es una forma de explotar el sistema musical. La situación se está volviendo cada vez más tensa, con ambos lados presentando sus argumentos en los canales de difusión.","[""Bad Bunny es un artista controvertido"",""La crítica hacia él es injusta según algunos defensores""]","[""El contra-flujo se vuelve más fuerte, con algunos artistas renunciando a su apoyo a Bad Bunny"",""La situación se vuelve cada vez más tensa, con ambos lados presentando sus argumentos en los canales de difusión""]",2025-12-22T15:35:13.336Z
bad_bunny,4,116,2018-04-27,"La controversia sigue creciendo, con la masa amplificadora en aumento y la crítica hacia Bad Bunny intensificándose.","La controversia sigue en aumento, con la masa amplificadora alimentando el fuego de la crítica. Algunos defensores de Bad Bunny argumentan que la crítica hacia él es injusta, mientras que otros sostienen que su comportamiento ha sido inapropiado. La situación se vuelve cada vez más tensa, con ambos lados presentando sus argumentos y acusaciones.","[""La masa amplificadora sigue alimentando el fuego de la crítica."",""Algunos defensores de Bad Bunny argumentan que la crítica hacia él es injusta.""]","[""El caso se vuelve más polarizado, con ambos lados presentando sus argumentos y acusaciones."",""La situación se vuelve cada vez más tensa, con la masa amplificadora en aumento.""]",2025-12-22T15:35:26.005Z
bad_bunny,5,146,2018-05-27,"La situación sigue siendo tensa, con Bad Bunny en el punto de mira de la masa amplificadora.","La controversia sigue en aumento, con Bad Bunny en el centro de la tormenta. La masa amplificadora no tiene fin y la crítica hacia él es cada vez más intensa. Se rumorea que algunos fanáticos están comenzando a cuestionar su lealtad al colectivo.","[""El engagement ha disminuido ligeramente desde el día anterior"",""El contagio sigue aumentando, lo que sugiere que la controversia está ganando más adeptos""]","[""La situación se calma y Bad Bunny logra recuperar su imagen"",""La masa amplificadora continúa creciendo y la crítica hacia Bad Bunny se vuelve aún más intensa""]",2025-12-22T15:35:37.197Z
bad_bunny,6,175,2018-06-25,La situación sigue siendo tensa y Bad Bunny se encuentra en el centro de la tormenta.,"La controversia sigue creciendo y la masa amplificadora no tiene fin. Bad Bunny se encuentra en el punto de mira de la opinión pública, con memes y críticas que lo atacan desde todos los ángulos. La resistencia a su figura es cada vez más fuerte, pero también hay un sector que defiende su derecho a expresarse.","[""La masa amplificadora ha aumentado significativamente desde el capítulo anterior."",""El engagement con respecto a Bad Bunny es ahora del 34,52%"",""El contagio también ha aumentado, alcanzando un 28,19%""]","[""La situación se calma y la opinión pública comienza a cambiar de parecer."",""La controversia sigue creciendo y Bad Bunny decide tomar una postura más firme.""]",2025-12-22T15:35:50.915Z
bad_bunny,7,204,2018-07-24,"La situación sigue siendo tensa, con Bad Bunny en el punto de mira de la masa amplificadora.","La controversia sigue creciendo, y Bad Bunny se encuentra en el centro de la tormenta. La masa amplificadora no cesa en su ataque, y la crítica hacia él es cada vez más intensa. Se rumorea que algunos miembros del colectivo estigmatizado están comenzando a dudar de la inocencia de Bad Bunny.","[""La controversia ha aumentado un 10% desde el capítulo anterior."",""El engagement ha disminuido un 30%."",""La pluralidad sigue siendo alta, pero se rumorea que algunos miembros del colectivo estigmatizado están comenzando a dudar de la inocencia de Bad Bunny.""]","[""Bad Bunny intenta defender su reputación"",""La masa amplificadora continúa con sus ataques""]",2025-12-22T15:36:04.271Z
bad_bunny,8,233,2018-08-22,La situación sigue siendo tensa y Bad Bunny sigue en el punto de mira. La masa amplificadora crece y la controversia se vuelve más intensa.,"La tensión sigue aumentando en torno a Bad Bunny. La masa amplificadora no para de crecer y la controversia se vuelve cada vez más intensa. Los memes siguen siendo el canal principal de difusión, pero ahora también comienzan a surgir rumores de una posible 'contra-flujo' que podría cambiar el curso de los acontecimientos.","[""La masa amplificadora ha crecido un 20% en las últimas 24 horas."",""El número de memes relacionados con Bad Bunny ha aumentado un 50% en las últimas 48 horas.""]","[""La masa amplificadora se vuelve demasiado grande y comienza a perder control."",""Bad Bunny decide hablar públicamente sobre la situación y cambia el curso de los acontecimientos.""]",2025-12-22T15:36:16.356Z
bad_bunny,9,262,2018-09-20,La situación sigue siendo tensa con Bad Bunny en el punto de mira,"La situación sigue siendo tensa y Bad Bunny se encuentra en el centro de la tormenta. La masa amplificadora continúa creciendo, y la controversia se vuelve cada vez más intensa. Se rumorea que algunos miembros del colectivo estigmatizado están comenzando a cuestionar su lealtad a Bad Bunny.","[""La masa amplificadora continúa creciendo"",""La controversia se vuelve cada vez más intensa""]","[""Bad Bunny intenta calmar a la multitud con un discurso"",""El colectivo estigmatizado decide tomar medidas drásticas contra Bad Bunny""]",2025-12-22T15:36:27.410Z
