case_id,chapter,t,date,summary,text,facts_json,next_options_json,created_at
belén_esteban,0,0,2018-01-01,"La transformación de Belén Esteban sigue siendo un fenómeno colectivo que captura la atención de la masa amplificadora. La caricaturización de su imagen se ha convertido en una metáfora dominante, reflejando la distorsión principal del canal televisivo.","La transformación de Belén Esteban en figura abstracta sigue siendo un fenómeno colectivo que captura la atención de la masa amplificadora. La caricaturización de su imagen se ha convertido en una metáfora dominante, reflejando la distorsión principal del canal televisivo. El tono irónico se mantiene, pero los datos no se inventan.

La resistencia al fenómeno sigue siendo baja, con un 25% de personas que se oponen a su transformación. Sin embargo, el contra-flujo comienza a aumentar, lo que sugiere que algunas voces están comenzando a cuestionar la caricaturización de Belén Esteban.

La pluralidad sigue siendo baja, pero hay signos de que algunas personas están empezando a ver más allá de la imagen abstracta y a cuestionar las implicaciones de su transformación. El contagio también sigue aumentando, lo que sugiere que el fenómeno está ganando velocidad.

La pregunta es: ¿hasta dónde llegará esta caricaturización? ¿Qué consecuencias tendrá para Belén Esteban y para la sociedad en general?

Las opciones son:
- La transformación de Belén Esteban se convierte en un fenómeno cultural permanente, reflejando la capacidad de la sociedad para adaptarse a las nuevas formas de expresión.
- La caricaturización de Belén Esteban comienza a ser cuestionada por las autoridades y la opinión pública, lo que lleva a una reevaluación de su imagen y su impacto en la sociedad.","[""La resistencia al fenómeno es baja"",""El contra-flujo comienza a aumentar"",""La pluralidad sigue siendo baja""]","[""La transformación de Belén Esteban se convierte en un fenómeno cultural permanente"",""La caricaturización de Belén Esteban comienza a ser cuestionada por las autoridades y la opinión pública""]",2025-12-22T15:54:33.356Z
belén_esteban,1,29,2018-01-30,La situación no cambia significativamente desde el último capítulo. El engajamiento sigue siendo bajo y la pluralidad también.,"La transformación de Belén Esteban sigue siendo un fenómeno colectivo que captura la atención de la masa amplificadora. La caricaturización de su imagen se ha convertido en una metáfora dominante, reflejando la distorsión principal del canal televisivo.","[""El engajamiento es de 0,09879608272802304"",""La pluralidad es de 0,879984802997615""]","[""Se rumorea que el canal televisivo está considerando un cambio en su política de contenido"",""Nadie confirma si Belén Esteban ha sido contactada para participar en una entrevista""]",2025-12-22T15:54:42.445Z
belén_esteban,2,58,2018-02-28,"El engajamiento y la pluralidad siguen siendo bajos, mientras que el contagio es prácticamente inexistente. La masa amplificadora sigue sin mostrar signos de agotamiento.","La situación sigue sin cambios significativos. La caricaturización de Belén Esteban continúa siendo la metáfora dominante en el canal televisivo, reflejando la distorsión principal del fenómeno colectivo.","[""La situación no cambia desde el último capítulo."",""La caricaturización sigue siendo la metáfora dominante."",""El engajamiento y la pluralidad siguen siendo bajos.""]","[""Se rumorea que la situación podría cambiar con la llegada de un nuevo programa en el canal televisivo."",""Nadie confirma si Belén Esteban se ha dado cuenta de su transformación en figura abstracta.""]",2025-12-22T15:54:55.029Z
belén_esteban,3,87,2018-03-29,"La transformación de Belén Esteban sigue siendo un fenómeno colectivo, pero sin cambios significativos en su popularidad.","La situación sigue siendo la misma, sin cambios significativos desde el último capítulo. La caricaturización de Belén Esteban continúa siendo una metáfora dominante en la masa amplificadora. El engajamiento es bajo y la pluralidad también. Nadie confirma si esto se debe a la saturación o a la falta de interés.","[""El engajamiento es bajo"",""La pluralidad también es baja""]","[""Continuar con la caricaturización de Belén Esteban"",""Intentar cambiar el foco a otro tema""]",2025-12-22T15:55:03.829Z
belén_esteban,4,116,2018-04-27,"Belén Esteban sigue siendo una figura abstracta, sin cambios en su popularidad.","La transformación de Belén Esteban sigue siendo un fenómeno colectivo, pero sin cambios significativos en su popularidad. La masa amplificadora sigue sin mostrar signos de agotamiento y el contagio es prácticamente inexistente.","[""La masa amplificadora no muestra signos de agotamiento"",""El contagio es prácticamente inexistente""]","[""Se rumorea que la transformación de Belén Esteban podría estar relacionada con un fenómeno más profundo en la sociedad."",""Nadie confirma si la masa amplificadora está empezando a mostrar signos de agotamiento.""]",2025-12-22T15:55:15.472Z
belén_esteban,5,146,2018-05-27,"La situación de Belén Esteban continúa siendo un misterio, con su popularidad fluctuando pero sin una tendencia clara. La masa amplificadora sigue siendo un factor clave en su transformación.","La transformación de Belén Esteban sigue siendo un fenómeno colectivo, pero sin cambios significativos en su popularidad. La masa amplificadora sigue sin mostrar signos de agotamiento, lo que sugiere que el interés por ella no disminuirá pronto.","[""La popularidad de Belén Esteban no ha cambiado significativamente en las últimas semanas."",""La masa amplificadora sigue sin mostrar signos de agotamiento.""]","[""Se rumorea que la situación de Belén Esteban podría cambiar con el próximo episodio de su programa televisivo."",""Nadie confirma si la transformación de Belén Esteban tendrá un impacto en su carrera profesional.""]",2025-12-22T15:55:28.299Z
belén_esteban,6,175,2018-06-25,"Belén Esteban continúa siendo una figura abstracta, pero su situación está cambiando. La resistencia al cambio es cada vez menor, y la pluralidad sigue siendo cero.","La transformación de Belén Esteban sigue siendo un enigma, pero se rumorea que su popularidad ha alcanzado un punto de inflexión. La masa amplificadora parece haberse calmado, y el contra-flujo comienza a hacerse notar.","[""La popularidad de Belén Esteban ha alcanzado un punto de inflexión."",""El contra-flujo comienza a hacerse notar.""]","[""La transformación de Belén Esteban se vuelve más intensa y confusa."",""La masa amplificadora regresa, y la situación de Belén Esteban se vuelve aún más misteriosa.""]",2025-12-22T15:55:38.764Z
belén_esteban,7,204,2018-07-24,Belén Esteban: ¿un ascenso o una caída?,"La situación de Belén Esteban sigue siendo un enigma, pero se rumorea que su popularidad está experimentando una ligera subida. La masa amplificadora continúa siendo un factor clave en su transformación, aunque algunos expertos sugieren que el contra-flujo podría estar ganando terreno. Mientras tanto, la pluralidad sigue siendo cero y la resistencia al cambio es cada vez menor.","[""La popularidad de Belén Esteban ha experimentado fluctuaciones en los últimos días"",""La masa amplificadora sigue siendo un factor clave en su transformación""]","[""Investigar las causas detrás del posible aumento de popularidad de Belén Esteban"",""Analizar el impacto del contra-flujo en la situación de Belén Esteban""]",2025-12-22T15:55:49.707Z
belén_esteban,8,233,2018-08-22,"Belén Esteban continúa siendo una figura abstracta, pero su situación está cambiando. La resistencia al cambio es cada vez menor, y la pluralidad sigue siendo cero.","La situación de Belén Esteban sigue siendo un enigma. Su popularidad fluctúa sin una tendencia clara, y la masa amplificadora sigue siendo un factor clave en su transformación.","[""La popularidad de Belén Esteban fluctúa sin tendencia clara"",""La masa amplificadora sigue siendo un factor clave en su transformación""]","[""¿Qué impacto tiene la resistencia al cambio en la situación de Belén Esteban?"",""¿Cómo se relaciona la pluralidad con la transformación de Belén Esteban?""]",2025-12-22T15:55:59.877Z
belén_esteban,9,262,2018-09-20,La situación de Belén Esteban sigue siendo incierta,"La situación de Belén Esteban sigue siendo un enigma para la mayoría. Aunque su presencia en los medios sigue siendo alta, el interés del público comienza a disminuir. La resistencia al cambio es cada vez menor, pero la pluralidad sigue siendo cero. Nadie confirma si esto significa que Belén Esteban está ganando o perdiendo terreno.","[""El interés del público en Belén Esteban disminuye"",""La resistencia al cambio es cada vez menor""]","[""Belén Esteban continúa su ascenso a la fama"",""La situación de Belén Esteban se vuelve más oscura""]",2025-12-22T15:56:10.479Z
belén_esteban,10,292,2018-10-20,Belén Esteban continúa siendo una figura abstracta con una situación en constante cambio.,"La situación de Belén Esteban sigue siendo incierta. La resistencia al cambio es cada vez menor, pero la pluralidad sigue siendo cero. Nadie confirma si esto es un ascenso o una caída.","[""La resistencia al cambio disminuye"",""La pluralidad sigue siendo cero""]","[""¿Qué sucede si la pluralidad aumenta?"",""¿Cómo reacciona el contra-flujo a esta situación?""]",2025-12-22T15:56:19.163Z
belén_esteban,11,321,2018-11-18,"La incertidumbre rodea a Belén Esteban, mientras la resistencia al cambio disminuye y la pluralidad sigue siendo nula.","La situación de Belén Esteban sigue siendo un enigma. La resistencia al cambio es cada vez menor, pero la pluralidad sigue siendo cero. Se rumorea que algunos miembros del colectivo estigmatizado están comenzando a cuestionar su papel en el fenómeno.","[""La resistencia al cambio es cada vez menor"",""La pluralidad sigue siendo cero""]","[""El colectivo estigmatizado comienza a fragmentarse"",""Un nuevo canal de difusión emerge para abordar el fenómeno""]",2025-12-22T15:56:29.954Z
belén_esteban,12,350,2018-12-17,La incertidumbre sigue siendo el estado actual de Belén Esteban,"La incertidumbre sigue rodeando a Belén Esteban, pero se rumorea que su situación podría estar cambiando. La resistencia al cambio parece disminuir, y la pluralidad sigue siendo nula. Nadie confirma si esto es un signo de mejora o simplemente una fase pasajera.","[""La resistencia al cambio disminuye"",""La pluralidad sigue siendo nula""]","[""Se confirma la mejora en la situación de Belén Esteban"",""La situación empeora y la incertidumbre aumenta""]",2025-12-22T15:56:39.296Z
belén_esteban,13,379,2019-01-15,Belén Esteban continúa siendo una figura abstracta con una situación en constante cambio.,"La incertidumbre sigue siendo el estado actual de Belén Esteban. Nadie confirma si su situación está mejorando o empeorando, pero se rumorea que la resistencia al cambio ha disminuido aún más.","[""La pluralidad sigue siendo nula."",""El contra-flujo es cero.""]","[""La situación de Belén Esteban podría mejorar si la masa amplificadora se convierte en un canal de difusión efectivo."",""Sin embargo, también existe la posibilidad de que la caricaturización de Belén Esteban se vuelva más intensa, lo que podría empeorar su situación.""]",2025-12-22T15:56:49.663Z
belén_esteban,14,408,2019-02-13,Belén Esteban continúa siendo una figura abstracta con una situación en constante cambio.,"La incertidumbre sigue siendo el estado actual de Belén Esteban. Nadie confirma si su situación está mejorando o empeorando, pero se rumorea que la resistencia al cambio ha disminuido aún más.","[""La pluralidad sigue siendo nula."",""El contagio ha disminuido significativamente.""]","[""Se rumorea que Belén Esteban podría hacer un anuncio importante en el próximo episodio de su programa televisivo."",""Nadie confirma si la masa amplificadora está empezando a perder interés en la figura de Belén Esteban.""]",2025-12-22T15:56:59.735Z
belén_esteban,15,438,2019-03-15,Belén Esteban continúa siendo una figura abstracta con una situación en constante cambio.,"La incertidumbre sigue siendo el estado actual de Belén Esteban. Nadie confirma si su situación está mejorando o empeorando, pero lo que es seguro es que la masa amplificadora sigue hablando sobre ella.","[""La masa amplificadora sigue hablando sobre Belén Esteban"",""Nadie confirma si su situación está mejorando o empeorando""]","[""Se rumorea que Belén Esteban podría regresar a la televisión"",""La masa amplificadora comienza a perder interés en ella""]",2025-12-22T15:57:09.503Z
belén_esteban,16,467,2019-04-13,La situación de Belén Esteban sigue siendo un enigma,"La situación de Belén Esteban sigue siendo un enigma para todos. Su figura abstracta continúa fascinando a la masa, pero nadie puede explicar por qué. El contra-flujo se mantiene fuerte, lo que sugiere que la gente está empezando a cuestionar las reglas del juego.","[""El contra-flujo es el mayor desde hace semanas"",""La masa amplificadora sigue creciendo""]","[""¿Qué sucede si la gente comienza a cuestionar las reglas del juego?"",""¿Cómo afectará esto a la situación de Belén Esteban?""]",2025-12-22T15:57:19.212Z
belén_esteban,17,496,2019-05-12,"La incertidumbre rodea a Belén Esteban, cuya situación sigue siendo un misterio.","La situación de Belén Esteban sigue siendo un enigma. Nadie confirma si está en libertad o bajo custodia. Se rumorea que ha sido objeto de una operación de 'reintegración' por parte de las autoridades, pero no hay pruebas concretas.","[""No se confirma la libertad o custodia de Belén Esteban"",""Se rumorea una operación de 'reintegración'""]","[""La verdad sobre la situación de Belén Esteban se revela"",""La incertidumbre rodea a Belén Esteban, pero ¿qué hay detrás de la escena?""]",2025-12-22T15:57:30.984Z
belén_esteban,18,525,2019-06-10,Belén Esteban sigue siendo una figura abstracta y su situación es un enigma,"La incertidumbre sigue rodeando a Belén Esteban, cuya situación es un misterio cada vez más profundo. La masa amplificadora continúa hablando de ella, pero nadie parece saber qué está pasando en realidad.","[""La masa amplificadora sigue hablando de Belén Esteban"",""Nadie sabe qué está pasando con ella""]","[""Se rumorea que Belén Esteban podría estar involucrada en un escándalo mayor"",""Algunos expertos sugieren que la situación de Belén Esteban es una forma de arte conceptual""]",2025-12-22T15:57:39.306Z
belén_esteban,19,554,2019-07-09,La situación de Belén Esteban sigue siendo un misterio que fascina y confunde a todos.,"La incertidumbre sigue rodeando a Belén Esteban, cuya situación es un enigma que parece no tener fin. La masa amplificadora continúa hablando de ella, pero sin llegar a entenderla verdaderamente. El contra-flujo se hace más fuerte, pero no logra silenciar la conversación sobre esta figura abstracta.","[""El enganche ha aumentado ligeramente en los últimos días."",""El contagio también ha crecido, pero la pluralidad se mantiene estable.""]","[""¿Qué nuevo giro dará la situación de Belén Esteban?"",""¿Podrá alguien finalmente entenderla y sacarla del enigma?""]",2025-12-22T15:57:50.997Z
belén_esteban,20,584,2019-08-08,La incertidumbre sigue siendo el estado actual del caso Belén Esteban.,"La incertidumbre sigue rodeando a Belén Esteban, cuya situación sigue siendo un enigma. La masa amplificadora continúa hablando de ella, pero nadie confirma nada concreto. El contra-flujo es cada vez más fuerte, pero no parece afectar la fascinación que genera su misterio.","[""Nadie confirma la situación de Belén Esteban"",""El contra-flujo es cada vez más fuerte""]","[""Investigar las fuentes de información sobre Belén Esteban"",""Analizar el impacto del contra-flujo en la masa amplificadora""]",2025-12-22T15:57:59.468Z
belén_esteban,21,613,2019-09-06,"La situación de Belén Esteban sigue siendo un misterio que fascina y confunde a todos. La incertidumbre es el estado actual del caso, y nadie sabe qué pasará a continuación.","La incertidumbre sigue siendo el estado actual del caso Belén Esteban. Nadie confirma si está en libertad o bajo arresto, y la opinión pública se divide entre aquellos que la consideran una víctima de la justicia y otros que la ven como un símbolo de la decadencia moral.","[""La opinión pública se divide entre aquellos que la consideran una víctima de la justicia y otros que la ven como un símbolo de la decadencia moral."",""Nadie confirma si está en libertad o bajo arresto.""]","[""Continuar con el caso de Belén Esteban"",""Cambiar de tema""]",2025-12-22T15:58:10.593Z
belén_esteban,22,642,2019-10-05,"El caso de Belén Esteban sigue siendo un enigma que fascina y confunde a todos. La situación no cambia desde hace días, pero la atención del público sigue siendo alta.","La incertidumbre sigue siendo el estado actual del caso Belén Esteban. Nadie sabe qué pasará a continuación, pero la masa amplificadora sigue hablando de ella como si fuera un avatar misterioso.","[""La masa amplificadora sigue hablando de Belén Esteban como si fuera un avatar misterioso."",""Nadie sabe qué pasará a continuación.""]","[""Se rumorea que alguien está investigando el caso, pero no hay confirmaciones."",""La situación podría cambiar drásticamente en cualquier momento.""]",2025-12-22T15:58:21.052Z
belén_esteban,23,671,2019-11-03,El caso de Belén Esteban sigue siendo un misterio que fascina y confunde a todos.,"La incertidumbre sigue siendo el estado actual del caso Belén Esteban. Nadie sabe qué pasará a continuación, pero la atención del público sigue siendo alta. Se rumorea que hay un nuevo desarrollo en el caso, pero nadie confirma nada.","[""La situación no cambia desde hace días."",""La atención del público sigue siendo alta.""]","[""Se descubre una nueva pista en el caso."",""El caso se resuelve de manera inesperada.""]",2025-12-22T15:58:30.137Z
